,channel_id,channel_video_count,recommended_count,videos_as_source,ratio
1253,UCJw8np695wqWOaKVhFjkRyg,261,735,51,2.8160919540229883
1254,UCN-sa7hXN_-0SvnZ3QFgErA,144,339,8,2.3541666666666665
1255,UCkCIBdOQzWkSwkxvr5OaLGg,595,1496,249,2.5142857142857142
1256,UCLJ9WtC9PoiwvVzpzyTcrrA,131,48,34,0.366412213740458
1257,UCKDIO0PuLi4_wxfyajE7V5A,206,432,88,2.0970873786407767
1258,UCDZTep8HCLZGEaw7_l1cVCw,944,2475,420,2.621822033898305
1259,UCanxaCp65Ph4E1sPcEiwRkw,27,76,11,2.814814814814815
1260,UCD5WTHI6dkvGshFGiUZudSg,228,1384,66,6.0701754385964914
1261,UCFBo7nOUvkL7icgcWyl3gNw,226,374,67,1.654867256637168
1262,UCej7tmvtZ_ex9dZE-ZYS0EQ,46,131,3,2.847826086956522
1263,UCSwPcnzaMTuDcTgjRiJvZnw,226,1089,52,4.81858407079646
1264,UCsNC6taLBV0BqTPnDtkMNmA,504,697,68,1.382936507936508
1265,UCKHKSD-yanY2ZwwU_4Tgf0w,464,3132,90,6.75
1266,UCkJJzII9NrWanvrdvLh_jbQ,14,143,7,10.214285714285714
1267,UCpYE4jfZcrTr-AVBohx1_-g,221,1650,49,7.46606334841629
1268,UCldDz3L_CjjsVUghgtmd-AQ,21,24,10,1.1428571428571428
1269,UCBEexcqqP2KRf84Lb787_Zg,23,7,13,0.30434782608695654
1270,UCgZqpf1zbwKAyD3lJ3OKDQQ,65,235,43,3.6153846153846154
1271,UCZjVdOOQaHgeHb4KHYmj-BA,153,958,50,6.261437908496732
1272,UC9n4DH9d58lgIUp5uDkoBww,337,717,103,2.1275964391691393
1273,UCEWqsDR8cjoxxHAS7R8R9UQ,250,165,94,0.66
1274,UC48e1bQSz_FYKSqIPjZW_BA,54,44,24,0.8148148148148148
1275,UCQWkfJ5xVnprobdpKAGZ1fQ,98,7674,14,78.3061224489796
1276,UC2avy3Pwc3yVtt-tPKJn33A,80,2220,16,27.75
1277,UChDWHhc_vjr1xmQtbOS1-3g,148,271,39,1.8310810810810811
1278,UCMOcYAHXBDTV41He19dKaPA,138,528,43,3.8260869565217392
1279,UC2ezfc64OTaeobrKC0ZT-2A,460,1281,198,2.784782608695652
1280,UCzbb9VE5NSBNXAPpou2kOVw,69,25,9,0.36231884057971014
1281,UCtyONQLs6htK-wWiCAk4wVw,41,194,8,4.7317073170731705
1282,UC8qYxNL3A19Hi410JNBb2sQ,38,294,4,7.7368421052631575
1283,UCzxHfZ_q7dV9PGQ9fh650nQ,104,337,34,3.2403846153846154
